"groupId","artifactId","lastUpdatedDate","relocationGroupId","relocationArtifactId","relocationLastUpdatedDate"
"log4j","log4j","2014-03-18 15:44:02","org.apache.logging.log4j","log4j-core","2024-12-13 12:27:04"
"log4j","log4j","2014-03-18 15:44:02","ch.qos.reload4j","reload4j","2024-12-15 17:07:40"
