"violationState","type","policyName","groupId","artifactId"
"INFO","LICENSE","Permissive","io.quarkus.security","quarkus-security"
"INFO","LICENSE","Permissive","io.quarkus.http","quarkus-http-servlet"
"WARN","LICENSE","Weak Copyleft","jakarta.servlet","jakarta.servlet-api"
"INFO","LICENSE","Permissive","io.quarkus.http","quarkus-http-vertx-backend"
"INFO","LICENSE","Permissive","io.quarkus.http","quarkus-http-http-core"
"INFO","LICENSE","Permissive","io.quarkus.http","quarkus-http-core"
"INFO","LICENSE","Permissive","io.netty","netty-codec-http"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-mailer"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-tls-registry"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-qute"
"INFO","LICENSE","Permissive","io.quarkus.qute","qute-core"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-mutiny"
"INFO","LICENSE","Permissive","io.smallrye.reactive","mutiny-smallrye-context-propagation"
"INFO","LICENSE","Permissive","io.smallrye.reactive","smallrye-mutiny-vertx-mail-client"
"INFO","LICENSE","Permissive","io.vertx","vertx-mail-client"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-liquibase"
"INFO","LICENSE","Permissive","org.liquibase","liquibase-core"
"INFO","LICENSE","Permissive","com.opencsv","opencsv"
"INFO","LICENSE","Permissive","org.apache.commons","commons-text"
"INFO","LICENSE","Permissive","org.apache.commons","commons-collections4"
"INFO","LICENSE","Permissive","org.osgi","osgi.core"
"INFO","LICENSE","Permissive","org.yaml","snakeyaml"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-jaxb"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-datasource-common"
"INFO","LICENSE","Permissive","io.quarkus","quarkus-cache-runtime-spi"
"INFO","LICENSE","Permissive","org.apache.commons","commons-lang3"
"INFO","LICENSE","Permissive","commons-io","commons-io"
"INFO","LICENSE","Permissive","com.google.guava","guava"
"INFO","LICENSE","Permissive","com.google.guava","failureaccess"
"INFO","LICENSE","Permissive","org.checkerframework","checker-qual"
"INFO","LICENSE","Permissive","com.google.j2objc","j2objc-annotations"
"INFO","LICENSE","Permissive","com.sun.xml.ws","rt"
"INFO","LICENSE","Permissive","com.sun.xml.ws","policy"
"WARN","LICENSE","Weak Copyleft","org.glassfish.ha","ha-api"
"INFO","LICENSE","Permissive","org.glassfish.external","management-api"
"INFO","LICENSE","Permissive","org.glassfish.gmbal","gmbal-api-only"
"INFO","LICENSE","Permissive","org.jvnet.staxex","stax-ex"
"INFO","LICENSE","Permissive","com.sun.xml.stream.buffer","streambuffer"
"INFO","LICENSE","Permissive","org.eclipse.angus","angus-activation"
"WARN","LICENSE","Weak Copyleft","org.eclipse.angus","angus-mail"
"INFO","LICENSE","Permissive","com.sun.xml.messaging.saaj","saaj-impl"
"INFO","LICENSE","Permissive","com.fasterxml.woodstox","woodstox-core"
"INFO","LICENSE","Permissive","org.codehaus.woodstox","stax2-api"
"INFO","LICENSE","Permissive","jakarta.activation","jakarta.activation-api"
"INFO","LICENSE","Permissive","jakarta.xml.ws","jakarta.xml.ws-api"
"INFO","LICENSE","Permissive","jakarta.xml.soap","jakarta.xml.soap-api"
"INFO","LICENSE","Permissive","de.focus-shift","jollyday-jaxb"
"INFO","LICENSE","Permissive","de.focus-shift","jollyday-core"
"INFO","LICENSE","Permissive","org.threeten","threeten-extra"
"WARN","LICENSE","Weak Copyleft","jakarta.mail","jakarta.mail-api"
