"groupId","artifactId","version","scope","lastUpdatedDate"
"com.google.inject","guice","4.2.2","test","2023-05-12 17:46:54"
"com.google.guava","guava","31.1-jre","test","2025-04-14 17:59:53"
"com.google.guava","failureaccess","1.0.1","test","2025-03-19 16:20:49"
"org.codehaus.plexus","plexus-classworlds","2.6.0","test","2025-04-05 17:02:51"
"org.codehaus.plexus","plexus-sec-dispatcher","2.0","test","2025-02-02 18:33:10"
"org.codehaus.plexus","plexus-cipher","2.0","test","2024-09-28 18:31:08"
"commons-cli","commons-cli","1.4","test","2024-08-14 23:10:54"
"org.eclipse.sisu","org.eclipse.sisu.plexus","0.3.5","test","2025-05-20 11:49:45"
"org.apache.maven","maven-settings-builder","3.8.6","test","2025-03-10 09:15:12"
"org.codehaus.plexus","plexus-interpolation","1.26","test","2025-04-05 08:30:02"
"org.apache.maven","maven-resolver-provider","3.8.6","test","2025-03-10 09:14:52"
"org.apache.maven","maven-repository-metadata","3.8.6","test","2025-03-10 09:14:39"
"org.apache.maven.resolver","maven-resolver-spi","1.6.3","test","2025-05-18 13:52:02"
"org.apache.maven.resolver","maven-resolver-impl","1.6.3","test","2025-05-18 13:49:59"
"org.codehaus.plexus","plexus-utils","3.3.0","test","2024-12-15 21:41:19"
"org.apache.maven.resolver","maven-resolver-connector-basic","1.6.3","test","2025-05-18 13:48:32"
"org.apache.maven.resolver","maven-resolver-transport-wagon","1.6.3","test","2025-05-18 13:57:49"
"org.apache.maven.wagon","wagon-http","3.5.1","test","2022-12-22 19:07:58"
"org.apache.maven.wagon","wagon-http-shared","3.5.1","test","2022-12-22 19:08:01"
"org.apache.maven.wagon","wagon-provider-api","3.5.1","test","2022-12-22 19:08:02"
"org.apache.maven.wagon","wagon-file","3.5.1","test","2022-12-22 19:07:55"
"io.quarkus","quarkus-bootstrap-gradle-resolver","2.16.3.Final","test","2025-05-22 13:40:56"
"io.smallrye","jandex","3.0.5","test","2025-05-13 09:29:07"
"org.jboss.logging","commons-logging-jboss-logging","1.0.0.Final","test","2018-02-26 21:11:58"
"io.quarkus","quarkus-junit5-properties","2.16.3.Final","test","2025-05-13 10:06:54"
"org.junit.jupiter","junit-jupiter","5.9.2","test","2025-05-30 10:38:24"
